Data,hora,Temp,Umidade,Pressao,CO2,VPar,PAR
28/03/25,00:00:08,25.3,67.4,942.2,625,0.31,0.0
28/03/25,00:05:08,25.3,67.3,942.2,617,0.31,0.0
28/03/25,00:10:08,25.3,67.4,942.1,623,0.31,0.0
28/03/25,00:15:08,25.3,67.0,942.1,620,0.31,0.0
28/03/25,00:20:08,25.3,63.9,942.0,621,0.31,0.0
28/03/25,00:25:08,24.6,57.5,941.9,621,0.31,0.0
28/03/25,00:30:08,24.5,65.9,942.0,617,0.31,0.0
28/03/25,00:35:08,24.5,69.0,942.0,622,0.31,0.0
28/03/25,00:40:08,24.5,70.7,941.9,622,0.31,0.0
28/03/25,00:45:08,24.5,70.6,941.9,622,0.31,0.0
28/03/25,00:50:08,24.6,69.9,941.9,632,0.31,0.0
28/03/25,00:55:08,24.7,69.1,941.8,617,0.31,0.0
28/03/25,01:00:08,24.8,68.8,941.7,621,0.31,0.0
28/03/25,01:05:08,24.8,68.4,941.7,628,0.31,0.0
28/03/25,01:10:08,24.8,68.1,941.7,626,0.31,0.0
28/03/25,01:15:07,24.9,67.7,941.7,620,0.31,0.0
28/03/25,01:20:07,24.9,67.7,941.7,624,0.31,0.0
28/03/25,01:25:07,24.9,67.5,941.6,615,0.31,0.0
28/03/25,01:30:07,25.0,67.1,941.6,617,0.31,0.0
28/03/25,01:35:07,25.0,66.9,941.4,616,0.31,0.0
28/03/25,01:40:07,25.0,67.1,941.4,619,0.31,0.0
28/03/25,01:45:07,25.1,66.6,941.4,618,0.31,0.0
28/03/25,01:50:07,25.1,66.5,941.4,620,0.31,0.0
28/03/25,01:55:07,25.1,66.3,941.2,617,0.31,0.0
28/03/25,02:00:07,25.1,66.3,941.3,621,0.31,0.0
28/03/25,02:05:07,25.2,66.0,941.3,610,0.31,0.0
28/03/25,02:10:07,25.1,66.1,941.3,608,0.31,0.0
28/03/25,02:15:07,25.2,65.8,941.3,613,0.31,0.0
28/03/25,02:20:07,25.2,65.7,941.4,621,0.31,0.0
28/03/25,02:25:07,25.3,65.4,941.5,618,0.31,0.0
28/03/25,02:30:07,25.2,65.7,941.5,611,0.31,0.0
28/03/25,02:35:07,25.3,65.3,941.6,611,0.31,0.0
28/03/25,02:40:07,25.3,65.2,941.5,618,0.31,0.0
28/03/25,02:45:07,24.8,56.2,941.5,614,0.31,0.0
28/03/25,02:50:07,24.4,61.8,941.4,617,0.31,0.0
28/03/25,02:55:07,24.5,66.4,941.4,610,0.31,0.0
28/03/25,03:00:07,24.4,68.7,941.4,618,0.31,0.0
28/03/25,03:05:07,24.4,69.3,941.3,615,0.31,0.0
28/03/25,03:10:07,24.5,68.5,941.3,619,0.31,0.0
28/03/25,03:15:07,24.6,67.8,941.4,610,0.31,0.0
28/03/25,03:20:07,24.6,67.6,941.4,605,0.31,0.0
28/03/25,03:25:07,24.7,67.1,941.3,617,0.31,0.0
28/03/25,03:30:07,24.8,66.7,941.3,613,0.31,0.0
28/03/25,03:35:07,24.8,66.3,941.2,616,0.31,0.0
28/03/25,03:40:07,24.8,66.3,941.2,618,0.31,0.0
28/03/25,03:45:07,24.9,66.0,941.2,614,0.31,0.0
28/03/25,03:50:07,25.0,65.7,941.3,626,0.31,0.0
28/03/25,03:55:07,25.1,65.2,941.3,615,0.31,0.0
28/03/25,04:00:07,25.0,65.5,941.3,618,0.31,0.0
28/03/25,04:05:07,25.0,65.1,941.3,614,0.31,0.0
28/03/25,04:10:07,25.0,65.1,941.3,622,0.31,0.0
28/03/25,04:15:06,25.2,64.5,941.4,611,0.31,0.0
28/03/25,04:20:06,25.1,64.7,941.4,616,0.31,0.0
28/03/25,04:25:06,25.2,64.3,941.4,612,0.31,0.0
28/03/25,04:30:06,25.1,64.6,941.4,610,0.31,0.0
28/03/25,04:35:06,25.2,64.0,941.4,609,0.31,0.0
28/03/25,04:40:06,25.2,64.2,941.5,612,0.31,0.0
28/03/25,04:45:06,25.2,63.9,941.6,617,0.31,0.0
28/03/25,04:50:06,25.1,64.1,941.6,612,0.31,0.0
28/03/25,04:55:06,25.2,63.6,941.7,610,0.31,0.0
28/03/25,05:00:06,25.2,63.7,941.7,617,0.31,0.0
28/03/25,05:05:06,25.2,63.5,941.8,617,0.31,0.0
28/03/25,05:10:06,25.2,63.6,941.8,611,0.31,0.0
28/03/25,05:15:06,25.3,63.2,941.9,616,0.31,0.0
28/03/25,05:20:06,25.2,63.3,941.9,613,0.31,0.0
28/03/25,05:25:06,25.3,62.9,942.0,614,0.31,0.0
28/03/25,05:30:06,25.2,61.9,942.0,612,0.31,0.0
28/03/25,05:35:06,24.5,53.5,942.0,612,0.31,0.0
28/03/25,05:40:06,24.4,62.2,942.1,610,0.31,0.0
28/03/25,05:45:06,24.5,65.0,942.0,618,0.31,0.0
28/03/25,05:50:06,24.4,66.9,942.0,613,0.31,0.0
28/03/25,05:55:06,24.5,66.4,942.1,621,0.31,0.0
28/03/25,06:00:06,26.0,61.0,942.0,620,0.31,0.0
28/03/25,06:05:06,27.0,50.1,942.1,609,0.31,0.0
28/03/25,06:10:06,27.2,50.1,942.1,600,0.31,0.0
28/03/25,06:15:06,27.6,52.1,942.3,605,0.31,0.0
28/03/25,06:20:06,27.5,45.4,942.3,601,0.31,0.0
28/03/25,06:25:06,27.9,52.2,942.4,605,0.30,0.0
28/03/25,06:30:06,27.8,44.9,942.4,609,0.30,0.0
28/03/25,06:35:06,27.8,50.1,942.5,611,0.30,0.0
28/03/25,06:40:06,28.2,47.5,942.5,604,0.30,0.0
28/03/25,06:45:06,27.7,46.9,942.4,603,0.30,0.0
28/03/25,06:50:06,28.3,51.7,942.4,608,0.30,0.0
28/03/25,06:55:06,27.9,43.7,942.4,601,0.30,0.0
28/03/25,07:00:06,28.1,51.1,942.5,607,0.30,0.0
28/03/25,07:05:06,28.4,45.4,942.5,610,0.30,0.0
28/03/25,07:10:06,28.0,47.4,942.6,604,0.30,0.0
28/03/25,07:15:05,28.5,50.3,942.6,601,0.30,0.0
28/03/25,07:20:05,27.9,43.5,942.7,611,0.30,0.0
28/03/25,07:25:05,28.2,51.8,942.8,613,0.30,0.0
28/03/25,07:30:05,28.1,44.3,942.9,608,0.30,0.0
28/03/25,07:35:05,28.2,49.0,942.8,606,0.30,0.0
28/03/25,07:40:05,28.3,47.9,942.9,610,0.30,0.0
28/03/25,07:45:05,28.0,47.0,942.9,603,0.30,0.0
28/03/25,07:50:05,28.6,51.8,943.0,611,0.30,0.0
28/03/25,07:55:05,28.3,43.5,943.0,606,0.31,0.0
28/03/25,08:00:05,28.3,51.1,943.1,610,0.30,0.0
28/03/25,08:05:05,28.4,44.8,943.1,608,0.30,0.0
28/03/25,08:10:05,28.2,47.6,943.2,597,0.30,0.0
28/03/25,08:15:05,28.5,52.1,943.3,602,0.30,0.0
28/03/25,08:20:05,28.3,42.6,943.4,600,0.30,0.0
28/03/25,08:25:05,28.5,50.8,943.5,601,0.30,0.0
28/03/25,08:30:05,28.3,43.6,943.5,599,0.31,0.0
28/03/25,08:35:05,28.4,48.5,943.5,601,0.30,0.0
28/03/25,08:40:05,28.6,47.3,943.5,600,0.30,0.0
28/03/25,08:45:05,28.2,44.7,943.5,604,0.30,0.0
28/03/25,08:50:05,28.7,50.4,943.6,603,0.30,0.0
28/03/25,08:55:05,28.3,43.1,943.6,591,0.30,0.0
28/03/25,09:00:05,28.5,50.0,943.6,600,0.30,0.0
28/03/25,09:05:05,28.7,44.0,943.7,598,0.30,0.0
28/03/25,09:10:05,28.6,46.2,943.6,600,0.30,0.0
28/03/25,09:15:05,28.6,43.6,943.6,614,0.31,0.0
28/03/25,09:20:05,28.0,40.1,943.7,620,0.30,0.0
28/03/25,09:25:05,28.6,43.6,943.6,620,0.30,0.0
28/03/25,09:30:05,28.3,39.5,943.6,620,0.30,0.0
28/03/25,09:35:05,28.2,41.9,943.6,625,0.30,0.0
28/03/25,09:40:05,28.6,43.4,943.6,625,0.30,0.0
28/03/25,09:45:05,28.1,39.7,943.5,627,0.30,0.0
28/03/25,09:50:05,28.5,45.8,943.5,630,0.31,0.0
28/03/25,09:55:05,28.4,41.4,943.5,631,0.30,0.0
28/03/25,10:00:05,28.2,48.2,943.5,636,0.30,0.0
28/03/25,10:05:05,28.7,44.7,943.4,637,0.30,0.0
28/03/25,10:10:04,28.3,41.6,943.4,632,0.30,0.0
28/03/25,10:15:04,28.7,48.4,943.3,640,0.30,0.0
28/03/25,10:20:04,28.3,41.2,943.2,632,0.30,0.0
28/03/25,10:25:04,28.6,48.3,943.2,629,0.30,0.0
28/03/25,10:30:04,28.8,42.7,943.1,631,0.30,0.0
28/03/25,10:35:04,28.4,44.1,943.1,617,0.30,0.0
28/03/25,10:40:04,28.9,48.9,943.0,621,0.30,0.0
28/03/25,10:45:04,28.4,43.4,942.9,623,0.30,0.0
28/03/25,10:50:04,28.8,47.1,942.9,627,0.30,0.0
28/03/25,10:55:04,28.8,43.5,942.8,624,0.30,0.0
28/03/25,11:00:04,28.6,46.7,942.7,628,0.30,0.0
28/03/25,11:05:04,28.8,40.9,942.7,634,0.30,0.0
28/03/25,11:10:04,28.0,36.9,942.6,623,0.31,0.0
28/03/25,11:15:04,28.2,47.8,942.5,626,0.30,0.0
28/03/25,11:20:04,28.3,41.3,942.4,630,0.30,0.0
28/03/25,11:25:04,28.2,45.4,942.3,631,0.30,0.0
28/03/25,11:30:04,28.4,40.8,942.3,644,0.30,0.0
28/03/25,11:35:04,28.0,40.6,942.2,642,0.30,0.0
28/03/25,11:40:04,28.6,42.1,942.1,646,0.30,0.0
28/03/25,11:45:04,28.2,39.6,942.0,652,0.30,0.0
28/03/25,11:50:04,28.3,45.4,941.9,646,0.30,0.0
28/03/25,11:55:04,28.5,40.0,941.8,644,0.30,0.0
28/03/25,12:00:04,28.2,42.7,941.7,651,0.30,0.0
28/03/25,12:05:04,28.5,42.9,941.6,651,0.30,0.0
28/03/25,12:10:04,28.1,40.7,941.5,651,0.30,0.0
28/03/25,12:15:04,28.5,45.1,941.5,652,0.30,0.0
28/03/25,12:20:04,28.2,40.1,941.5,648,0.30,0.0
28/03/25,12:25:04,28.4,44.7,941.5,646,0.30,0.0
28/03/25,12:30:04,28.6,40.5,941.3,639,0.31,0.0
28/03/25,12:35:04,28.2,41.3,941.2,632,0.30,0.0
28/03/25,12:40:04,28.5,44.2,941.1,638,0.30,0.0
28/03/25,12:45:04,28.3,40.4,941.1,627,0.30,0.0
28/03/25,12:50:04,28.4,47.1,941.0,624,0.30,0.0
28/03/25,12:55:04,28.4,41.9,940.8,632,0.30,0.0
28/03/25,13:00:04,28.1,46.0,940.7,629,0.30,0.0
28/03/25,13:05:04,28.8,45.5,940.7,634,0.31,0.0
28/03/25,13:10:03,28.3,40.7,940.6,629,0.30,0.0
28/03/25,13:15:03,28.5,46.2,940.5,640,0.30,0.0
28/03/25,13:20:03,28.3,40.7,940.4,646,0.30,0.0
28/03/25,13:25:03,28.4,48.0,940.3,650,0.30,0.0
28/03/25,13:30:03,28.5,43.0,940.2,647,0.30,0.0
28/03/25,13:35:03,28.4,43.5,940.2,647,0.30,0.0
28/03/25,13:40:03,28.7,48.5,940.1,647,0.30,0.0
28/03/25,13:45:03,28.2,41.6,940.0,658,0.30,0.0
28/03/25,13:50:03,28.5,48.4,940.0,664,0.31,0.0
28/03/25,13:55:03,28.6,42.0,940.0,661,0.30,0.0
28/03/25,14:00:03,28.3,45.8,939.8,666,0.30,0.0
28/03/25,14:05:03,28.5,46.7,939.8,660,0.30,0.0
28/03/25,14:10:03,28.4,39.6,939.7,643,0.30,0.0
28/03/25,14:15:03,28.6,46.9,939.6,641,0.30,0.0
28/03/25,14:20:03,28.4,41.2,939.5,639,0.30,0.0
28/03/25,14:25:03,28.4,46.7,939.5,625,0.31,0.0
28/03/25,14:30:03,28.4,41.2,939.4,629,0.30,0.0
28/03/25,14:35:03,28.3,43.1,939.4,617,0.30,0.0
28/03/25,14:40:03,28.8,46.7,939.3,627,0.30,0.0
28/03/25,14:45:03,28.1,40.4,939.3,631,0.30,0.0
28/03/25,14:50:03,28.3,47.2,939.3,639,0.30,0.0
28/03/25,14:55:03,28.4,42.2,939.3,632,0.30,0.0
28/03/25,15:00:03,28.2,45.8,939.2,630,0.31,0.0
28/03/25,15:05:03,28.8,44.4,939.2,631,0.30,0.0
28/03/25,15:10:03,28.1,41.1,939.2,621,0.30,0.0
28/03/25,15:15:03,28.5,48.6,939.2,621,0.30,0.0
28/03/25,15:20:03,28.4,41.9,939.2,624,0.30,0.0
28/03/25,15:25:03,28.6,46.9,939.1,620,0.30,0.0
28/03/25,15:30:03,28.5,41.5,939.0,610,0.30,0.0
28/03/25,15:35:03,28.2,44.9,939.1,608,0.30,0.0
28/03/25,15:40:03,28.8,47.7,939.0,610,0.30,0.0
28/03/25,15:45:03,28.3,41.3,939.0,605,0.30,0.0
28/03/25,15:50:03,28.4,46.9,939.0,606,0.30,0.0
28/03/25,15:55:03,28.5,43.1,939.0,600,0.30,0.0
28/03/25,16:00:03,28.4,47.3,939.0,601,0.30,0.0
28/03/25,16:05:03,28.7,43.8,939.1,599,0.30,0.0
28/03/25,16:10:02,28.2,40.8,939.2,596,0.30,0.0
28/03/25,16:15:02,28.6,47.2,939.2,602,0.30,0.0
28/03/25,16:20:02,28.4,41.3,939.1,591,0.30,0.0
28/03/25,16:25:02,28.6,45.4,939.1,593,0.30,0.0
28/03/25,16:30:02,28.5,42.9,939.1,595,0.30,0.0
28/03/25,16:35:02,28.3,45.2,939.2,595,0.30,0.0
28/03/25,16:40:02,28.7,48.1,939.2,591,0.30,0.0
28/03/25,16:45:02,28.2,40.4,939.2,589,0.30,0.0
28/03/25,16:50:02,28.4,46.4,939.3,588,0.30,0.0
28/03/25,16:55:02,28.6,41.8,939.3,581,0.30,0.0
28/03/25,17:00:02,28.2,46.3,939.4,588,0.30,0.0
28/03/25,17:05:02,28.7,45.1,939.4,593,0.30,0.0
28/03/25,17:10:02,28.4,41.9,939.5,586,0.30,0.0
28/03/25,17:15:02,28.6,47.2,939.4,582,0.30,0.0
28/03/25,17:20:02,28.4,41.1,939.5,581,0.30,0.0
28/03/25,17:25:02,28.5,48.3,939.5,579,0.30,0.0
28/03/25,17:30:02,28.5,42.0,939.5,579,0.31,0.0
28/03/25,17:35:02,28.2,44.9,939.4,581,0.30,0.0
28/03/25,17:40:02,28.6,48.6,939.5,582,0.30,0.0
28/03/25,17:45:02,28.2,41.8,939.5,571,0.30,0.0
28/03/25,17:50:02,28.5,48.6,939.5,577,0.30,0.0
28/03/25,17:55:02,28.5,43.2,939.6,570,0.30,0.0
28/03/25,18:00:02,28.4,47.6,939.6,573,0.30,0.0
28/03/25,18:05:02,28.8,46.9,939.6,576,0.31,0.0
28/03/25,18:10:02,28.2,41.9,939.6,568,0.30,0.0
28/03/25,18:15:02,28.6,48.3,939.7,572,0.30,0.0
28/03/25,18:20:02,28.4,42.1,939.8,570,0.30,0.0
28/03/25,18:25:02,28.6,46.8,939.8,576,0.30,0.0
28/03/25,18:30:02,28.5,42.5,939.8,571,0.30,0.0
28/03/25,18:35:02,28.2,44.8,939.9,569,0.31,0.0
28/03/25,18:40:02,28.8,47.9,940.0,577,0.31,0.0
28/03/25,18:45:02,28.1,42.6,940.0,572,0.30,0.0
28/03/25,18:50:02,28.4,47.8,940.1,577,0.30,0.0
28/03/25,18:55:02,28.5,43.3,940.1,569,0.30,0.0
28/03/25,19:00:02,28.4,47.2,940.1,573,0.30,0.0
28/03/25,19:05:01,28.6,46.5,940.2,574,0.30,0.0
28/03/25,19:10:01,28.3,42.6,940.3,574,0.30,0.0
28/03/25,19:15:01,28.5,48.7,940.3,571,0.30,0.0
28/03/25,19:20:01,28.3,41.1,940.3,567,0.30,0.0
28/03/25,19:25:01,28.4,48.1,940.4,570,0.31,0.0
28/03/25,19:30:01,28.5,43.4,940.4,566,0.30,0.0
28/03/25,19:35:01,28.0,44.9,940.4,566,0.30,0.0
28/03/25,19:40:01,28.5,49.1,940.5,568,0.31,0.0
28/03/25,19:45:01,28.1,42.1,940.6,571,0.30,0.0
28/03/25,19:50:01,28.2,48.5,940.6,571,0.30,0.0
28/03/25,19:55:01,28.2,44.1,940.6,565,0.30,0.0
28/03/25,20:00:01,26.5,52.3,940.7,567,0.31,0.0
28/03/25,20:05:01,26.1,56.8,940.7,576,0.31,0.0
28/03/25,20:10:01,25.6,56.9,940.8,576,0.31,0.0
28/03/25,20:15:01,25.6,57.0,940.9,579,0.31,0.0
28/03/25,20:20:01,25.3,57.3,941.0,583,0.31,0.0
28/03/25,20:25:01,25.3,57.4,941.1,584,0.31,0.0
28/03/25,20:30:01,25.1,57.5,941.1,579,0.31,0.0
28/03/25,20:35:01,25.2,57.0,941.2,588,0.31,0.0
28/03/25,20:40:01,25.0,57.2,941.2,581,0.31,0.0
28/03/25,20:45:01,25.0,57.4,941.3,587,0.31,0.0
28/03/25,20:50:01,24.9,57.5,941.1,582,0.31,0.0
28/03/25,20:55:01,25.0,57.4,941.1,581,0.31,0.0
28/03/25,21:00:01,24.8,57.9,941.1,580,0.31,0.0
28/03/25,21:05:01,24.8,57.9,941.3,583,0.31,0.0
28/03/25,21:10:01,24.8,57.7,941.3,581,0.31,0.0
28/03/25,21:15:01,24.9,57.6,941.3,582,0.31,0.0
28/03/25,21:20:01,24.7,58.2,941.4,579,0.31,0.0
28/03/25,21:25:01,24.9,57.8,941.4,580,0.31,0.0
28/03/25,21:30:01,24.7,57.9,941.5,577,0.31,0.0
28/03/25,21:35:01,24.8,58.0,941.5,578,0.31,0.0
28/03/25,21:40:01,24.7,58.1,941.5,586,0.31,0.0
28/03/25,21:45:01,24.8,57.7,941.4,581,0.31,0.0
28/03/25,21:50:01,24.7,57.3,941.5,584,0.31,0.0
28/03/25,21:55:01,24.8,57.3,941.5,578,0.31,0.0
28/03/25,22:00:01,24.7,57.5,941.5,582,0.31,0.0
28/03/25,22:05:00,24.8,57.4,941.5,579,0.31,0.0
28/03/25,22:10:00,24.7,57.6,941.6,574,0.31,0.0
28/03/25,22:15:00,24.7,57.5,941.5,581,0.31,0.0
28/03/25,22:20:00,24.6,57.7,941.5,586,0.31,0.0
28/03/25,22:25:00,24.8,57.5,941.5,583,0.31,0.0
28/03/25,22:30:00,24.6,57.8,941.4,587,0.31,0.0
28/03/25,22:35:00,24.7,57.5,941.4,582,0.31,0.0
28/03/25,22:40:00,24.6,57.6,941.3,591,0.31,0.0
