Data,hora,Temp,Umidade,Pressao,CO2,VPar,PAR
04/04/25,00:00:11,24.7,57.9,942.0,562,0.31,0.0
04/04/25,00:05:11,24.6,58.4,942.0,564,0.31,0.0
04/04/25,00:10:11,24.7,58.1,942.0,563,0.31,0.0
04/04/25,00:15:11,24.6,58.3,942.0,561,0.31,0.0
04/04/25,00:20:11,24.7,58.2,941.8,570,0.31,0.0
04/04/25,00:25:11,24.6,58.7,941.8,562,0.31,0.0
04/04/25,00:30:11,24.7,58.0,941.7,569,0.31,0.0
04/04/25,00:35:11,24.7,58.1,941.6,556,0.31,0.0
04/04/25,00:40:11,24.7,58.2,941.5,562,0.31,0.0
04/04/25,00:45:11,24.6,58.4,941.5,555,0.31,0.0
04/04/25,00:50:11,24.7,57.9,941.5,566,0.31,0.0
04/04/25,00:55:11,24.6,58.2,941.3,562,0.31,0.0
04/04/25,01:00:11,24.7,58.1,941.3,562,0.31,0.0
04/04/25,01:05:11,24.6,58.4,941.2,562,0.31,0.0
04/04/25,01:10:11,24.6,57.4,941.1,575,0.31,0.0
04/04/25,01:15:11,24.5,57.7,941.1,567,0.31,0.0
04/04/25,01:20:11,24.6,57.6,941.0,565,0.31,0.0
04/04/25,01:25:11,24.6,57.8,941.0,561,0.31,0.0
04/04/25,01:30:11,24.6,57.7,941.0,569,0.32,0.0
04/04/25,01:35:11,24.6,58.1,941.0,568,0.31,0.0
04/04/25,01:40:11,24.5,58.1,941.0,571,0.31,0.0
04/04/25,01:45:11,24.6,58.2,941.0,562,0.31,0.0
04/04/25,01:50:11,24.6,57.8,940.9,573,0.31,0.0
04/04/25,01:55:11,24.5,58.3,940.9,572,0.31,0.0
04/04/25,02:00:11,24.6,57.7,940.9,570,0.31,0.0
04/04/25,02:05:11,24.6,57.9,940.9,565,0.31,0.0
04/04/25,02:10:11,24.6,57.7,940.9,572,0.31,0.0
04/04/25,02:15:11,24.5,57.9,940.9,567,0.31,0.0
04/04/25,02:20:11,24.6,57.4,940.9,573,0.31,0.0
04/04/25,02:25:11,24.5,57.6,940.9,577,0.31,0.0
04/04/25,02:30:11,24.6,57.4,940.8,575,0.31,0.0
04/04/25,02:35:11,24.5,58.2,940.8,572,0.31,0.0
04/04/25,02:40:11,24.6,59.2,940.8,573,0.31,0.0
04/04/25,02:45:11,24.5,60.3,940.8,571,0.31,0.0
04/04/25,02:50:10,24.7,60.9,940.7,573,0.31,0.0
04/04/25,02:55:10,24.6,61.7,940.7,575,0.31,0.0
04/04/25,03:00:10,24.7,62.1,940.7,572,0.31,0.0
04/04/25,03:05:10,24.7,62.6,940.7,574,0.31,0.0
04/04/25,03:10:10,24.8,62.8,940.7,578,0.31,0.0
04/04/25,03:15:10,24.7,63.1,940.7,576,0.31,0.0
04/04/25,03:20:10,24.8,63.3,940.8,581,0.31,0.0
04/04/25,03:25:10,24.8,63.3,940.7,579,0.31,0.0
04/04/25,03:30:10,24.9,63.3,940.8,574,0.31,0.0
04/04/25,03:35:10,24.8,63.3,940.8,575,0.31,0.0
04/04/25,03:40:10,24.8,63.4,940.9,578,0.31,0.0
04/04/25,03:45:10,24.8,63.7,940.9,571,0.31,0.0
04/04/25,03:50:10,24.9,63.3,940.8,577,0.31,0.0
04/04/25,03:55:10,24.9,63.4,940.8,582,0.31,0.0
