Data,hora,Temp,Umidade,Pressao,CO2,VPar,PAR
02/04/25,00:00:28,24.8,60.1,942.9,567,0.31,0.0
02/04/25,00:05:28,24.7,60.5,942.8,574,0.31,0.0
02/04/25,00:10:28,24.7,60.3,942.7,574,0.31,0.0
02/04/25,00:15:27,24.7,59.5,942.6,577,0.31,0.0
02/04/25,00:20:27,24.8,59.5,942.5,574,0.31,0.0
02/04/25,00:25:27,24.7,59.7,942.5,568,0.31,0.0
02/04/25,00:30:27,24.8,59.6,942.4,574,0.31,0.0
02/04/25,00:35:27,24.7,59.8,942.4,570,0.31,0.0
02/04/25,00:40:27,24.8,59.7,942.4,572,0.31,0.0
02/04/25,00:45:27,24.7,60.1,942.4,570,0.31,0.0
02/04/25,00:50:27,24.8,59.6,942.4,569,0.31,0.0
02/04/25,00:55:27,24.7,59.9,942.5,575,0.31,0.0
02/04/25,01:00:27,24.8,59.6,942.5,570,0.31,0.0
02/04/25,01:05:27,24.7,59.9,942.5,559,0.31,0.0
02/04/25,01:10:27,24.7,59.8,942.5,574,0.31,0.0
02/04/25,01:15:27,24.6,60.1,942.5,571,0.31,0.0
02/04/25,01:20:27,24.7,59.8,942.4,570,0.31,0.0
02/04/25,01:25:27,24.7,59.6,942.4,570,0.31,0.0
02/04/25,01:30:27,24.7,59.3,942.4,567,0.31,0.0
02/04/25,01:35:27,24.7,59.5,942.3,568,0.31,0.0
02/04/25,01:40:27,24.8,59.3,942.3,571,0.31,0.0
02/04/25,01:45:27,24.7,59.7,942.3,566,0.31,0.0
02/04/25,01:50:27,24.7,59.7,942.3,568,0.31,0.0
02/04/25,01:55:27,24.6,59.9,942.3,568,0.31,0.0
02/04/25,02:00:27,24.8,59.3,942.3,568,0.31,0.0
02/04/25,02:05:27,24.6,59.8,942.3,568,0.31,0.0
02/04/25,02:10:27,24.6,59.5,942.3,566,0.31,0.0
02/04/25,02:15:27,24.6,59.7,942.2,562,0.31,0.0
02/04/25,02:20:27,24.7,59.6,942.2,577,0.31,0.0
02/04/25,02:25:27,24.7,59.7,942.2,567,0.31,0.0
02/04/25,02:30:27,24.7,59.5,942.2,563,0.31,0.0
02/04/25,02:35:27,24.6,60.1,942.2,561,0.31,0.0
02/04/25,02:40:27,24.7,59.3,942.2,567,0.31,0.0
02/04/25,02:45:27,24.6,59.4,942.2,563,0.31,0.0
02/04/25,02:50:27,24.7,59.3,942.2,567,0.31,0.0
02/04/25,02:55:27,24.6,59.4,942.3,566,0.31,0.0
02/04/25,03:00:27,24.7,59.4,942.3,571,0.31,0.0
02/04/25,03:05:27,24.6,59.5,942.3,564,0.31,0.0
02/04/25,03:10:27,24.7,59.4,942.3,568,0.31,0.0
02/04/25,03:15:26,24.6,59.6,942.3,562,0.31,0.0
02/04/25,03:20:26,24.6,59.6,942.3,561,0.31,0.0
02/04/25,03:25:26,24.6,59.3,942.3,562,0.31,0.0
02/04/25,03:30:26,24.7,59.2,942.4,566,0.31,0.0
02/04/25,03:35:26,24.6,59.6,942.4,572,0.31,0.0
02/04/25,03:40:26,24.7,59.5,942.4,566,0.31,0.0
02/04/25,03:45:26,24.6,59.7,942.4,569,0.31,0.0
02/04/25,03:50:26,24.7,59.3,942.4,566,0.31,0.0
02/04/25,03:55:26,24.6,58.9,942.4,570,0.31,0.0
02/04/25,04:00:26,24.7,58.7,942.4,563,0.31,0.0
02/04/25,04:05:26,24.5,59.5,942.4,564,0.31,0.0
02/04/25,04:10:26,24.7,58.9,942.5,567,0.31,0.0
02/04/25,04:15:26,24.6,59.0,942.5,574,0.31,0.0
02/04/25,04:20:26,24.6,59.1,942.5,566,0.31,0.0
02/04/25,04:25:26,24.6,59.2,942.5,570,0.31,0.0
02/04/25,04:30:26,24.6,59.2,942.5,561,0.31,0.0
02/04/25,04:35:26,24.6,59.5,942.5,570,0.31,0.0
02/04/25,04:40:26,24.6,59.3,942.6,569,0.31,0.0
02/04/25,04:45:26,24.5,59.7,942.5,569,0.31,0.0
02/04/25,04:50:26,24.6,59.4,942.5,566,0.31,0.0
02/04/25,04:55:26,24.6,59.5,942.6,567,0.31,0.0
02/04/25,05:00:26,24.6,59.4,942.6,570,0.31,0.0
02/04/25,05:05:26,24.6,59.3,942.6,559,0.31,0.0
02/04/25,05:10:26,24.7,58.8,942.6,565,0.31,0.0
02/04/25,05:15:26,24.6,59.3,942.6,564,0.31,0.0
02/04/25,05:20:26,24.6,59.2,942.7,564,0.31,0.0
02/04/25,05:25:26,24.6,59.4,942.8,567,0.31,0.0
02/04/25,05:30:26,24.6,59.3,942.8,567,0.31,0.0
02/04/25,05:35:26,24.6,59.6,942.8,558,0.31,0.0
02/04/25,05:40:26,24.6,59.5,942.8,563,0.31,0.0
02/04/25,05:45:26,24.6,59.5,942.8,558,0.31,0.0
02/04/25,05:50:26,24.6,59.2,942.8,570,0.31,0.0
02/04/25,05:55:26,24.6,59.6,942.8,569,0.31,0.0
02/04/25,06:00:26,26.3,53.8,942.9,566,0.31,0.0
02/04/25,06:05:26,27.2,48.2,942.9,545,0.31,0.0
02/04/25,06:10:26,27.3,49.3,942.9,545,0.31,0.0
02/04/25,06:15:25,27.8,50.3,943.1,543,0.31,0.0
02/04/25,06:20:25,27.7,44.8,943.2,553,0.31,0.0
02/04/25,06:25:25,28.0,49.6,943.3,553,0.31,0.0
02/04/25,06:30:25,27.7,44.0,943.3,547,0.31,0.0
02/04/25,06:35:25,28.0,48.9,943.4,546,0.31,0.0
02/04/25,06:40:25,28.2,48.2,943.5,541,0.31,0.0
02/04/25,06:45:25,27.8,43.2,943.5,545,0.31,0.0
02/04/25,06:50:25,28.1,49.8,943.7,540,0.31,0.0
