Data,hora,Temp,Umidade,Pressao,CO2,VPar,PAR
07/04/25,00:00:14,25.1,58.2,946.9,532,0.31,0.0
07/04/25,00:05:14,25.0,58.3,946.9,530,0.31,0.0
07/04/25,00:10:14,25.1,57.8,946.9,530,0.31,0.0
07/04/25,00:15:14,24.9,58.2,946.8,532,0.31,0.0
07/04/25,00:20:14,25.1,57.7,946.8,534,0.31,0.0
07/04/25,00:25:14,24.9,57.9,946.7,525,0.31,0.0
07/04/25,00:30:14,25.0,57.7,946.6,535,0.31,0.0
07/04/25,00:35:14,24.9,57.9,946.5,522,0.31,0.0
07/04/25,00:40:14,25.1,57.5,946.5,532,0.31,0.0
07/04/25,00:45:13,24.9,57.9,946.4,528,0.31,0.0
07/04/25,00:50:13,25.0,57.5,946.3,533,0.31,0.0
07/04/25,00:55:13,24.9,57.8,946.4,527,0.31,0.0
07/04/25,01:00:13,25.1,57.4,946.4,534,0.31,0.0
07/04/25,01:05:13,24.9,57.9,946.3,532,0.31,0.0
07/04/25,01:10:13,25.0,57.4,946.2,530,0.31,0.0
07/04/25,01:15:13,24.9,57.7,946.2,526,0.31,0.0
07/04/25,01:20:13,25.0,57.4,946.1,531,0.31,0.0
07/04/25,01:25:13,24.8,57.7,946.1,523,0.31,0.0
07/04/25,01:30:13,25.0,57.1,946.0,533,0.31,0.0
07/04/25,01:35:13,24.9,57.3,946.0,528,0.31,0.0
07/04/25,01:40:13,25.0,56.8,945.9,530,0.31,0.0
07/04/25,01:45:13,24.9,57.1,945.9,529,0.31,0.0
07/04/25,01:50:13,25.0,56.8,945.9,532,0.31,0.0
07/04/25,01:55:13,24.9,57.2,945.8,528,0.31,0.0
07/04/25,02:00:13,25.0,56.6,945.7,535,0.31,0.0
07/04/25,02:05:13,24.9,56.9,945.7,528,0.31,0.0
07/04/25,02:10:13,25.0,56.5,945.7,525,0.31,0.0
07/04/25,02:15:13,24.8,56.9,945.6,526,0.32,0.0
07/04/25,02:20:13,25.0,56.3,945.6,530,0.31,0.0
