Data,hora,Temp,Umidade,Pressao,CO2,VPar,PAR
31/03/25,00:00:44,24.7,58.3,941.5,579,0.31,0.0
31/03/25,00:05:44,24.5,58.6,941.5,581,0.31,0.0
31/03/25,00:10:44,24.7,58.3,941.4,591,0.31,0.0
31/03/25,00:15:44,24.6,58.8,941.3,590,0.31,0.0
31/03/25,00:20:44,24.6,58.5,941.3,587,0.31,0.0
31/03/25,00:25:44,24.5,58.8,941.2,588,0.31,0.0
31/03/25,00:30:44,24.6,58.3,941.2,587,0.31,0.0
31/03/25,00:35:44,24.5,59.0,941.3,584,0.31,0.0
31/03/25,00:40:43,24.5,58.9,941.3,586,0.32,0.0
31/03/25,00:45:43,24.6,58.9,941.3,586,0.31,0.0
31/03/25,00:50:43,24.6,58.6,941.2,596,0.31,0.0
31/03/25,00:55:43,24.5,58.9,941.2,592,0.31,0.0
31/03/25,01:00:43,24.6,58.6,941.1,586,0.31,0.0
31/03/25,01:05:43,24.5,58.2,941.2,590,0.31,0.0
31/03/25,01:10:43,24.6,58.1,941.1,585,0.31,0.0
31/03/25,01:15:43,24.4,58.5,941.1,591,0.31,0.0
31/03/25,01:20:43,24.6,58.3,941.0,588,0.31,0.0
31/03/25,01:25:43,24.5,58.7,940.9,587,0.31,0.0
31/03/25,01:30:43,24.5,58.4,940.9,591,0.31,0.0
31/03/25,01:35:43,24.5,58.5,940.8,588,0.31,0.0
31/03/25,01:40:43,24.6,58.3,940.9,594,0.31,0.0
31/03/25,01:45:43,24.5,58.8,940.9,592,0.31,0.0
31/03/25,01:50:43,24.6,58.4,940.8,593,0.31,0.0
31/03/25,01:55:43,24.4,58.7,940.8,590,0.31,0.0
31/03/25,02:00:43,24.6,58.4,940.8,599,0.32,0.0
31/03/25,02:05:43,24.5,58.7,940.8,594,0.31,0.0
31/03/25,02:10:43,24.6,58.4,940.8,589,0.31,0.0
31/03/25,02:15:43,24.4,58.4,940.8,596,0.31,0.0
31/03/25,02:20:43,24.6,57.7,940.7,589,0.31,0.0
31/03/25,02:25:43,24.5,58.2,940.7,594,0.31,0.0
31/03/25,02:30:43,24.5,58.7,940.7,602,0.31,0.0
31/03/25,02:35:43,24.4,60.3,940.7,593,0.31,0.0
31/03/25,02:40:43,24.6,60.8,940.6,595,0.32,0.0
31/03/25,02:45:43,24.6,61.8,940.6,595,0.31,0.0
31/03/25,02:50:43,24.6,62.3,940.7,599,0.31,0.0
31/03/25,02:55:43,24.6,63.1,940.8,592,0.31,0.0
31/03/25,03:00:43,24.7,63.2,940.9,596,0.31,0.0
31/03/25,03:05:43,24.6,63.9,940.9,594,0.31,0.0
31/03/25,03:10:43,24.8,63.7,941.0,594,0.31,0.0
31/03/25,03:15:43,24.7,64.4,941.0,597,0.31,0.0
31/03/25,03:20:43,24.8,64.2,940.9,599,0.31,0.0
31/03/25,03:25:43,24.7,64.8,940.9,597,0.31,0.0
31/03/25,03:30:43,24.8,64.3,940.9,600,0.31,0.0
31/03/25,03:35:43,24.7,64.8,940.9,592,0.31,0.0
31/03/25,03:40:42,24.9,64.4,941.0,594,0.31,0.0
31/03/25,03:45:42,24.8,65.0,941.1,592,0.31,0.0
31/03/25,03:50:42,24.9,64.5,941.2,594,0.31,0.0
31/03/25,03:55:42,24.9,64.7,941.2,590,0.31,0.0
31/03/25,04:00:42,24.9,64.7,941.1,605,0.31,0.0
31/03/25,04:05:42,24.8,65.1,941.2,591,0.31,0.0
