Data,hora,Temp,Umidade,Pressao,CO2,VPar,PAR
30/03/25,00:00:52,24.7,58.8,941.0,587,0.31,0.0
30/03/25,00:05:52,24.6,59.2,941.0,580,0.31,0.0
30/03/25,00:10:52,24.7,59.0,941.0,583,0.31,0.0
30/03/25,00:15:52,24.6,59.3,941.0,588,0.31,0.0
30/03/25,00:20:52,24.7,59.1,941.0,589,0.31,0.0
30/03/25,00:25:52,24.6,59.4,941.0,584,0.31,0.0
30/03/25,00:30:52,24.7,59.2,941.0,584,0.31,0.0
30/03/25,00:35:52,24.5,59.6,941.0,591,0.31,0.0
30/03/25,00:40:52,24.6,59.4,940.9,582,0.31,0.0
30/03/25,00:45:52,24.6,59.6,940.9,584,0.31,0.0
30/03/25,00:50:51,24.7,59.0,940.9,586,0.31,0.0
30/03/25,00:55:51,24.5,58.6,940.9,578,0.31,0.0
30/03/25,01:00:51,24.6,58.5,940.8,580,0.31,0.0
30/03/25,01:05:51,24.5,58.9,940.8,573,0.31,0.0
30/03/25,01:10:51,24.6,58.7,940.7,591,0.31,0.0
30/03/25,01:15:51,24.6,58.7,940.6,582,0.31,0.0
30/03/25,01:20:51,24.6,58.4,940.6,578,0.31,0.0
30/03/25,01:25:51,24.5,59.0,940.5,576,0.31,0.0
30/03/25,01:30:51,24.6,58.9,940.6,579,0.31,0.0
30/03/25,01:35:51,24.5,58.9,940.5,572,0.31,0.0
30/03/25,01:40:51,24.7,58.5,940.5,572,0.31,0.0
30/03/25,01:45:51,24.5,59.0,940.5,572,0.31,0.0
30/03/25,01:50:51,24.6,58.8,940.5,572,0.31,0.0
30/03/25,01:55:51,24.6,58.9,940.4,565,0.31,0.0
30/03/25,02:00:51,24.6,58.7,940.4,573,0.31,0.0
30/03/25,02:05:51,24.5,58.5,940.4,570,0.31,0.0
30/03/25,02:10:51,24.6,58.1,940.4,570,0.31,0.0
30/03/25,02:15:51,24.5,58.7,940.3,564,0.31,0.0
30/03/25,02:20:51,24.6,58.3,940.3,570,0.31,0.0
30/03/25,02:25:51,24.6,58.4,940.3,569,0.31,0.0
30/03/25,02:30:51,24.6,58.4,940.2,568,0.31,0.0
30/03/25,02:35:51,24.4,59.0,940.2,562,0.31,0.0
30/03/25,02:40:51,24.5,58.9,940.2,571,0.31,0.0
30/03/25,02:45:51,24.6,58.7,940.2,562,0.31,0.0
30/03/25,02:50:51,24.6,58.7,940.2,573,0.31,0.0
30/03/25,02:55:51,24.4,59.2,940.1,577,0.31,0.0
30/03/25,03:00:51,24.6,58.7,940.1,570,0.31,0.0
30/03/25,03:05:51,24.5,59.1,940.0,568,0.31,0.0
30/03/25,03:10:51,24.6,58.8,940.0,569,0.31,0.0
30/03/25,03:15:51,24.5,58.8,939.9,567,0.31,0.0
30/03/25,03:20:51,24.6,58.0,939.9,572,0.31,0.0
30/03/25,03:25:51,24.5,58.5,939.8,567,0.31,0.0
30/03/25,03:30:51,24.6,58.4,939.7,570,0.31,0.0
30/03/25,03:35:51,24.5,58.7,939.8,565,0.31,0.0
