Data,hora,Temp,Umidade,Pressao,CO2,VPar,PAR
25/03/25,00:00:23,24.8,68.5,931.3,687,0.31,0.0
25/03/25,00:05:23,24.9,68.5,931.3,684,0.31,0.0
25/03/25,00:10:23,24.7,69.3,931.2,686,0.31,0.0
25/03/25,00:15:23,24.9,68.6,931.2,687,0.31,0.0
25/03/25,00:20:23,24.9,68.8,931.2,679,0.31,0.0
25/03/25,00:25:23,25.0,68.5,931.2,677,0.31,0.0
25/03/25,00:30:23,25.0,68.7,931.2,680,0.31,0.0
25/03/25,00:35:23,24.8,69.3,931.1,688,0.31,0.0
25/03/25,00:40:23,25.2,68.0,931.1,680,0.31,0.0
25/03/25,00:45:23,25.0,68.8,931.1,677,0.31,0.0
25/03/25,00:50:23,24.9,69.2,931.1,679,0.31,0.0
25/03/25,00:55:23,24.8,69.7,931.1,681,0.31,0.0
25/03/25,01:00:23,24.5,70.4,931.1,698,0.31,0.0
25/03/25,01:05:23,24.6,70.9,930.9,691,0.31,0.0
25/03/25,01:10:23,24.4,71.3,930.8,687,0.31,0.0
25/03/25,01:15:22,24.5,71.2,930.7,681,0.31,0.0
25/03/25,01:20:22,24.5,70.7,930.7,688,0.31,0.0
25/03/25,01:25:22,24.5,70.7,930.6,680,0.31,0.0
25/03/25,01:30:22,24.8,69.3,930.7,685,0.31,0.0
25/03/25,01:35:22,24.6,70.1,930.6,681,0.31,0.0
25/03/25,01:40:22,24.7,69.8,930.5,690,0.31,0.0
25/03/25,01:45:22,24.5,70.9,930.4,694,0.31,0.0
25/03/25,01:50:22,24.7,69.9,930.4,692,0.31,0.0
25/03/25,01:55:22,24.5,70.6,930.3,691,0.31,0.0
25/03/25,02:00:22,24.6,70.2,930.3,684,0.31,0.0
25/03/25,02:05:22,24.5,70.4,930.3,686,0.31,0.0
25/03/25,02:10:22,24.5,70.7,930.2,691,0.31,0.0
25/03/25,02:15:22,24.3,71.0,930.1,692,0.31,0.0
25/03/25,02:20:22,24.1,71.9,930.2,683,0.31,0.0
25/03/25,02:25:22,24.3,71.6,930.2,683,0.31,0.0
25/03/25,02:30:22,24.2,72.1,930.2,689,0.31,0.0
25/03/25,02:35:22,24.5,70.9,930.3,692,0.31,0.0
25/03/25,02:40:22,24.7,70.0,930.3,688,0.31,0.0
25/03/25,02:45:22,24.4,71.2,930.3,689,0.31,0.0
25/03/25,02:50:22,24.4,71.0,930.3,688,0.31,0.0
25/03/25,02:55:22,24.5,70.4,930.3,684,0.31,0.0
25/03/25,03:00:22,24.3,70.9,930.2,686,0.31,0.0
25/03/25,03:05:22,24.4,70.8,930.2,689,0.31,0.0
25/03/25,03:10:22,24.3,71.2,930.2,687,0.31,0.0
25/03/25,03:15:22,24.1,71.8,930.2,681,0.31,0.0
25/03/25,03:20:22,23.8,72.8,930.4,686,0.31,0.0
25/03/25,03:25:22,24.2,71.5,930.4,690,0.31,0.0
25/03/25,03:30:22,24.4,70.8,930.5,691,0.31,0.0
25/03/25,03:35:22,24.4,70.2,930.4,678,0.31,0.0
25/03/25,03:40:22,24.7,69.3,930.5,680,0.31,0.0
25/03/25,03:45:22,24.4,70.0,930.5,684,0.31,0.0
25/03/25,03:50:22,24.6,69.3,930.6,682,0.31,0.0
25/03/25,03:55:22,24.4,69.8,930.6,681,0.31,0.0
25/03/25,04:00:22,24.5,69.5,930.6,681,0.31,0.0
25/03/25,04:05:22,24.4,70.1,930.6,672,0.31,0.0
25/03/25,04:10:21,24.3,70.3,930.6,671,0.31,0.0
25/03/25,04:15:21,24.1,70.5,930.6,674,0.31,0.0
25/03/25,04:20:21,24.1,70.8,930.7,672,0.31,0.0
25/03/25,04:25:21,24.3,70.3,930.8,669,0.31,0.0
25/03/25,04:30:21,24.2,70.7,930.8,683,0.31,0.0
25/03/25,04:35:21,24.4,70.2,930.8,680,0.31,0.0
25/03/25,04:40:21,24.5,69.6,930.9,685,0.31,0.0
25/03/25,04:45:21,24.5,70.1,930.9,681,0.31,0.0
25/03/25,04:50:21,24.5,69.5,930.9,676,0.31,0.0
25/03/25,04:55:21,24.3,69.8,930.9,674,0.31,0.0
25/03/25,05:00:21,24.3,70.0,931.0,678,0.31,0.0
25/03/25,05:05:21,24.3,69.8,931.1,681,0.31,0.0
25/03/25,05:10:21,24.2,70.6,931.2,673,0.31,0.0
25/03/25,05:15:21,24.1,70.7,931.2,672,0.31,0.0
25/03/25,05:20:21,24.1,70.9,931.2,679,0.31,0.0
25/03/25,05:25:21,23.9,71.7,931.2,681,0.31,0.0
25/03/25,05:30:21,24.0,71.5,931.3,675,0.31,0.0
25/03/25,05:35:21,24.3,70.3,931.3,675,0.31,0.0
25/03/25,05:40:21,24.2,70.8,931.4,676,0.31,0.0
25/03/25,05:45:21,24.2,70.5,931.3,665,0.31,0.0
25/03/25,05:50:21,24.1,70.8,931.4,673,0.31,0.0
25/03/25,05:55:21,24.4,69.7,931.5,677,0.31,0.0
25/03/25,06:00:21,24.4,69.9,931.6,688,0.31,0.0
25/03/25,06:05:21,24.2,70.9,931.6,708,0.31,0.0
25/03/25,06:10:21,24.3,70.4,931.7,706,0.31,0.0
25/03/25,06:15:21,24.2,71.2,931.7,709,0.31,0.0
25/03/25,06:20:21,24.1,71.8,931.7,730,0.31,0.0
25/03/25,09:40:59,23.3,59.4,943.5,550,0.31,0.0
25/03/25,09:45:59,22.7,57.2,943.5,909,0.31,0.0
25/03/25,09:50:59,22.5,54.3,943.6,903,0.31,0.0
25/03/25,09:55:59,22.4,53.9,943.6,891,0.31,0.0
25/03/25,10:00:59,22.2,54.8,943.5,878,0.31,0.0
25/03/25,10:05:59,22.1,54.2,943.4,807,0.31,0.0
25/03/25,10:10:59,22.0,52.5,943.3,770,0.32,0.0
25/03/25,10:15:59,22.1,53.5,943.3,736,0.31,0.0
25/03/25,10:20:59,22.1,53.7,943.2,732,0.32,0.0
25/03/25,10:25:59,21.8,52.7,943.2,728,0.32,0.0
25/03/25,10:30:59,22.0,52.1,943.1,717,0.32,0.0
25/03/25,10:35:59,22.0,53.1,943.1,711,0.32,0.0
25/03/25,10:40:59,21.9,53.0,943.0,714,0.31,0.0
25/03/25,10:45:59,21.5,51.7,942.9,707,0.31,0.0
25/03/25,10:50:59,21.8,52.2,942.8,698,0.32,0.0
25/03/25,10:55:59,21.8,53.1,942.7,694,0.32,0.0
25/03/25,11:00:59,21.8,52.6,942.7,697,0.32,0.0
25/03/25,11:05:59,21.8,52.2,942.6,683,0.31,0.0
25/03/25,11:10:59,21.9,52.2,942.5,679,0.32,0.0
25/03/25,11:15:59,21.9,53.4,942.4,676,0.32,0.0
25/03/25,11:20:59,21.9,51.8,942.4,675,0.31,0.0
25/03/25,11:25:59,21.8,52.6,942.3,667,0.31,0.0
25/03/25,11:30:59,21.6,52.0,942.2,670,0.31,0.0
25/03/25,11:35:59,21.7,51.9,942.1,662,0.31,0.0
25/03/25,11:40:59,21.7,52.5,942.1,662,0.32,0.0
25/03/25,11:45:28,23.8,43.0,942.0,550,0.31,0.0
25/03/25,11:50:28,25.0,48.1,942.0,782,0.31,0.0
25/03/25,11:55:28,26.1,44.7,941.9,759,0.31,0.0
25/03/25,12:00:28,26.4,35.8,941.8,724,0.31,0.0
25/03/25,12:05:28,26.6,43.9,941.7,700,0.31,0.0
25/03/25,12:10:28,26.9,40.9,941.6,681,0.31,0.0
25/03/25,12:15:28,27.3,35.9,941.6,667,0.31,0.0
25/03/25,12:20:28,26.9,37.6,941.5,653,0.31,0.0
25/03/25,12:25:28,27.2,41.8,941.4,654,0.31,0.0
25/03/25,12:30:28,27.5,37.9,941.3,648,0.31,0.0
25/03/25,12:35:28,27.0,33.1,941.2,651,0.31,0.0
25/03/25,12:40:28,27.3,42.4,941.2,639,0.31,0.0
25/03/25,12:45:28,27.5,37.6,941.1,638,0.31,0.0
25/03/25,12:50:28,27.0,32.8,941.0,640,0.31,0.0
25/03/25,12:55:28,27.2,42.8,940.9,638,0.31,0.0
25/03/25,13:00:28,27.6,37.3,940.7,634,0.31,0.0
25/03/25,13:05:28,27.1,32.5,940.5,632,0.31,0.0
25/03/25,13:10:28,26.9,42.1,940.5,637,0.31,0.0
25/03/25,13:15:28,27.4,37.1,940.6,629,0.31,0.0
25/03/25,13:20:28,27.4,32.7,940.5,626,0.31,0.0
25/03/25,13:25:28,27.0,40.5,940.4,628,0.31,0.0
25/03/25,13:30:28,27.4,37.3,940.2,631,0.31,0.0
25/03/25,13:35:28,27.4,33.9,940.2,628,0.31,0.0
25/03/25,13:40:27,27.1,36.2,940.0,629,0.31,0.0
25/03/25,13:45:27,27.4,38.2,939.9,624,0.31,0.0
25/03/25,13:50:27,27.5,35.5,940.0,623,0.31,0.0
25/03/25,13:55:27,27.0,34.4,940.0,616,0.31,0.0
25/03/25,14:00:27,27.3,38.6,940.1,625,0.31,0.0
25/03/25,14:05:27,27.4,35.8,940.1,620,0.31,0.0
25/03/25,14:10:27,27.0,33.7,940.0,620,0.31,0.0
25/03/25,14:15:27,27.3,38.4,940.0,621,0.31,0.0
25/03/25,14:20:27,27.4,36.2,940.0,619,0.31,0.0
25/03/25,14:25:27,27.0,33.4,939.8,617,0.31,0.0
25/03/25,14:30:27,27.2,37.4,939.8,619,0.31,0.0
25/03/25,14:35:27,27.4,35.4,939.7,617,0.31,0.0
25/03/25,14:40:27,27.8,34.9,939.8,611,0.31,0.0
25/03/25,14:45:27,27.2,31.4,939.6,618,0.31,0.0
25/03/25,14:50:27,27.2,37.6,939.7,622,0.31,0.0
25/03/25,14:55:27,27.2,36.0,939.8,625,0.31,0.0
25/03/25,15:00:27,27.2,30.6,939.7,618,0.31,0.0
25/03/25,15:05:27,27.2,40.4,939.5,620,0.31,0.0
25/03/25,15:10:27,27.4,35.9,939.3,623,0.31,0.0
25/03/25,15:15:27,27.3,31.9,939.1,628,0.31,0.0
25/03/25,15:20:27,27.4,40.9,939.0,626,0.31,0.0
25/03/25,15:25:27,27.7,40.0,939.2,634,0.31,0.0
25/03/25,15:30:27,27.2,32.3,939.3,629,0.31,0.0
25/03/25,15:35:27,27.4,44.6,939.1,646,0.31,0.0
25/03/25,15:40:27,27.8,44.1,939.2,650,0.31,0.0
25/03/25,15:45:27,27.3,34.7,939.2,649,0.31,0.0
25/03/25,15:50:27,27.5,45.6,939.2,653,0.31,0.0
25/03/25,15:55:27,27.8,47.0,939.3,655,0.31,0.0
25/03/25,16:00:27,27.6,36.6,939.4,649,0.31,0.0
25/03/25,16:05:27,27.7,46.2,939.2,654,0.31,0.0
